,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
308,PEGAS G8BM042023,Apr-2023,47.9,48.0,45.7,45.7,45.191,92.0,2763,2023-03-14T00:00:00.0000000
309,PEGAS G8BM042023,Apr-2023,45.9,45.9,43.3,44.0,43.65,119.0,3062,2023-03-15T00:00:00.0000000
310,PEGAS G8BM042023,Apr-2023,44.0,45.35,42.85,45.35,45.521,90.0,3191,2023-03-16T00:00:00.0000000
311,PEGAS G8BM042023,Apr-2023,44.65,45.0,44.25,44.25,44.021,93.0,3392,2023-03-17T00:00:00.0000000
312,PEGAS G8BM042023,Apr-2023,41.05,42.0,40.5,40.5,40.5,60.0,4043,2023-03-20T00:00:00.0000000
313,PEGAS G8BM042023,Apr-2023,40.65,44.0,40.65,44.0,43.705,20.0,4063,2023-03-21T00:00:00.0000000
314,PEGAS G8BM042023,Apr-2023,43.9,43.9,41.7,41.7,41.62,32.0,4095,2023-03-22T00:00:00.0000000
315,PEGAS G8BM042023,Apr-2023,42.9,44.85,42.1,44.85,44.47,57.0,4116,2023-03-23T00:00:00.0000000
316,PEGAS G8BM042023,Apr-2023,44.45,44.9,42.55,42.55,42.8,27.0,4148,2023-03-24T00:00:00.0000000
317,PEGAS G8BM042023,Apr-2023,43.9,44.65,43.775,44.25,44.338,286.0,4629,2023-03-27T00:00:00.0000000
318,PEGAS G8BM042023,Apr-2023,43.5,45.0,42.9,45.0,44.489,137.0,4763,2023-03-28T00:00:00.0000000
319,PEGAS G8BM042023,Apr-2023,45.0,46.0,44.0,44.6,44.377,88.0,14508,2023-03-29T00:00:00.0000000
320,PEGAS G8BM042023,Apr-2023,44.5,44.7,44.05,44.1,44.389,343.0,14916,2023-03-30T00:00:00.0000000
321,PEGAS G8BM052023,May-2023,,,,,49.358,33.0,10129,2023-03-31T00:00:00.0000000
322,PEGAS G8BM052023,May-2023,50.4,51.5,50.2,51.5,52.887,221.0,10324,2023-04-03T00:00:00.0000000
323,PEGAS G8BM052023,May-2023,50.75,51.25,47.7,47.7,48.97,317.0,10706,2023-04-04T00:00:00.0000000
324,PEGAS G8BM052023,May-2023,48.0,49.9,46.8,46.8,47.314,228.0,10542,2023-04-05T00:00:00.0000000
325,PEGAS G8BM052023,May-2023,45.7,47.0,45.7,45.8,45.458,63.0,10765,2023-04-06T00:00:00.0000000
326,PEGAS G8BM052023,May-2023,46.985,46.985,45.25,46.15,46.16,85.0,10876,2023-04-11T00:00:00.0000000
327,PEGAS G8BM052023,May-2023,46.3,47.0,45.4,45.6,45.45,162.0,11378,2023-04-12T00:00:00.0000000
328,PEGAS G8BM052023,May-2023,44.6,45.35,44.275,44.275,44.619,116.0,11611,2023-04-13T00:00:00.0000000
329,PEGAS G8BM052023,May-2023,44.7,44.8,43.6,43.6,43.642,113.0,11776,2023-04-14T00:00:00.0000000
330,PEGAS G8BM052023,May-2023,44.0,44.5,43.525,43.525,43.51,157.0,12017,2023-04-17T00:00:00.0000000
331,PEGAS G8BM052023,May-2023,44.1,45.7,43.8,45.55,45.112,833.0,12616,2023-04-18T00:00:00.0000000
332,PEGAS G8BM052023,May-2023,44.9,44.9,42.6,42.6,43.069,78.0,12763,2023-04-19T00:00:00.0000000
333,PEGAS G8BM052023,May-2023,43.6,43.6,43.0,43.0,43.21,151.0,12994,2023-04-20T00:00:00.0000000
334,PEGAS G8BM052023,May-2023,44.3,44.3,42.35,42.35,41.778,193.0,13301,2023-04-21T00:00:00.0000000
335,PEGAS G8BM052023,May-2023,41.2,41.96,41.0,41.96,42.15,189.0,13573,2023-04-24T00:00:00.0000000
336,PEGAS G8BM052023,May-2023,41.65,41.95,41.55,41.55,41.82,150.0,13720,2023-04-25T00:00:00.0000000
337,PEGAS G8BM052023,May-2023,40.6,40.7,40.5,40.5,40.37,143.0,13165,2023-04-26T00:00:00.0000000
338,PEGAS G8BM052023,May-2023,40.5,40.9,40.05,40.2,41.15,158.0,13977,2023-04-27T00:00:00.0000000
339,PEGAS G8BM062023,Jun-2023,41.6,41.6,41.6,41.6,40.99,3.0,9759,2023-04-28T00:00:00.0000000
340,PEGAS G8BM062023,Jun-2023,41.5,41.5,40.3,40.3,40.05,22.0,9781,2023-05-02T00:00:00.0000000
341,PEGAS G8BM062023,Jun-2023,39.2,39.3,38.975,39.15,38.9,73.0,9876,2023-05-03T00:00:00.0000000
342,PEGAS G8BM062023,Jun-2023,38.2,38.5,37.75,37.75,37.694,256.0,10007,2023-05-04T00:00:00.0000000
343,PEGAS G8BM062023,Jun-2023,37.7,38.3,37.6,38.185,38.316,54.0,10287,2023-05-05T00:00:00.0000000
344,PEGAS G8BM062023,Jun-2023,38.0,39.2,37.8,39.2,38.866,62.0,10349,2023-05-08T00:00:00.0000000
345,PEGAS G8BM062023,Jun-2023,38.05,38.5,37.75,38.0,37.759,295.0,10590,2023-05-09T00:00:00.0000000
346,PEGAS G8BM062023,Jun-2023,38.0,38.0,37.175,37.785,36.668,193.0,11186,2023-05-10T00:00:00.0000000
347,PEGAS G8BM062023,Jun-2023,36.55,36.55,36.3,36.3,36.6,193.0,11419,2023-05-11T00:00:00.0000000
348,PEGAS G8BM062023,Jun-2023,35.8,35.95,35.7,35.75,34.214,119.0,11570,2023-05-12T00:00:00.0000000
349,PEGAS G8BM062023,Jun-2023,34.7,34.7,34.1,34.5,33.81,238.0,11745,2023-05-15T00:00:00.0000000
350,PEGAS G8BM062023,Jun-2023,33.8,34.2,33.6,33.65,33.327,285.0,12080,2023-05-16T00:00:00.0000000
351,PEGAS G8BM062023,Jun-2023,33.4,34.5,33.4,33.6,33.48,160.0,12230,2023-05-17T00:00:00.0000000
352,PEGAS G8BM062023,Jun-2023,,,,,31.325,65.0,12286,2023-05-18T00:00:00.0000000
353,PEGAS G8BM062023,Jun-2023,32.3,32.3,31.6,31.7,31.575,117.0,12393,2023-05-19T00:00:00.0000000
354,PEGAS G8BM062023,Jun-2023,30.9,31.9,30.9,31.5,31.455,185.0,12567,2023-05-22T00:00:00.0000000
355,PEGAS G8BM062023,Jun-2023,31.175,31.5,31.15,31.5,31.055,111.0,12603,2023-05-23T00:00:00.0000000
356,PEGAS G8BM062023,Jun-2023,30.6,30.625,30.2,30.3,29.4,195.0,12761,2023-05-24T00:00:00.0000000
357,PEGAS G8BM062023,Jun-2023,28.575,28.575,27.5,28.1,26.94,389.0,13130,2023-05-25T00:00:00.0000000
358,PEGAS G8BM062023,Jun-2023,27.4,27.4,26.6,26.6,25.8,160.0,13613,2023-05-26T00:00:00.0000000
359,PEGAS G8BM062023,Jun-2023,,,,,26.123,,13613,2023-05-29T00:00:00.0000000
360,PEGAS G8BM062023,Jun-2023,25.5,26.4,25.45,26.1,25.885,521.0,14093,2023-05-30T00:00:00.0000000
361,PEGAS G8BM072023,Jul-2023,28.6,28.6,28.6,28.6,28.35,3.0,68,2023-05-31T00:00:00.0000000
362,PEGAS G8BM072023,Jul-2023,26.5,26.5,25.6,25.8,24.541,178.0,326,2023-06-01T00:00:00.0000000
